,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1967.0,396642.65129683,287973.9985945186,299843.83954154723,338346.67418263806,345722.3101265823,306275.8620689655,308396.841569027,331949.12790697673,393389.94121489226,365667.90352504636,347013.8221153846,378865.3117464692,691982.7091919011,554448.3333333334,371972.72345782624,414054.79452054796,407769.5431472081,364353.02013422817,312492.12598425196,348922.0112878399,376444.8336252189,443844.937773293,554053.2106421284,425100.8569545155,400406.75990675995,421833.7975858867,643382.7935511485,452273.44632768363,368351.6355140187,460248.7899322362,319116.9284467714,281965.04369538074,433662.6506024097,478531.96053196053,440649.18032786885,306144.2786069652,392808.4632516704,359270.25139664806,315480.64918851433,398420.1050262566,298487.8612716763,256150.5838967425,273301.0813887308,321398.80444064905,290589.7674418605,246456.29466739966,187252.57731958764
1968.0,446347.9762133128,328450.2103786816,337442.4460431655,398435.997764114,403144.9044585987,363787.9032258065,350785.1662404092,405291.9672919673,463364.8736228127,431907.30509515037,411691.8671248568,456331.79419525067,802571.6817295764,649950.8359872611,428045.0336700337,487129.15851272014,483519.71688574314,422852.15053763444,347404.7306176084,403146.6666666666,456482.29831688915,516372.9657920957,647112.6073380171,504488.173455979,478520.23121387284,499148.605395519,732887.5641203383,520048.487544484,417567.8449258837,511158.1485053038,368197.8984238179,327871.04930467764,514187.7990430622,561226.8694550063,514077.88778877887,373818.29573934834,470317.0189098999,428571.22807017545,364285.175879397,455849.5884260414,352230.1401869159,304263.48419094854,330078.64523536165,368581.61512027495,337406.9223573433,280469.8660714286,213704.1237113402
1969.0,499839.53934740886,379803.3589923023,392608.5383502171,464362.7287853577,437683.7469975981,413163.8280616383,409564.32598667353,472514.4618302513,545265.554842848,511897.74802191113,480058.85558583104,558062.5978090767,951495.7332629542,748266.9847328244,495293.9189189189,577186.3414634146,565978.8944723619,494366.08344549127,418628.6089238845,481675.8832565284,539119.6089706728,614362.7418825845,767847.280334728,595348.5639686683,576105.1428571428,580722.272317403,849642.3760775862,618258.5078534031,468818.1818181818,580225.9615384615,442773.6842105263,381485.9335038363,629051.0083036773,672295.8801498128,600419.695968275,441976.07052896725,550874.861572536,513225.1935256861,427188.36915297096,536796.0199004975,413752.3696682464,359079.52410770196,374379.1304347826,448280.65630397236,379312.6177024482,322121.4528944382,247824.74226804124
1970.0,580358.9891975308,438499.29971988796,457084.60977388767,546937.8779549203,500925.86623690574,460393.14845024474,472599.69167523127,580048.0410447761,632005.6962025317,599108.4990958408,562820.2276254526,617101.8711018711,1100523.755259467,860497.0760233919,570829.3096145701,682631.0679611651,654548.9021956088,579034.9462365591,502110.23622047243,562825.75370465,618938.0329732803,706325.2427184465,902321.7601188265,693826.9604666234,678482.0224719101,676664.0,987199.4750656168,714204.5844044558,540215.0537634409,655591.5627996165,521045.6942003515,443817.82945736434,747437.6098418278,762172.0032840723,700183.3223031106,521994.94310998736,635067.18061674,603117.7715091679,495692.50317662006,634266.9481003227,468051.3126491647,428566.8789808917,437564.70588235295,527639.2733564014,448803.0447193149,376183.34297281667,283611.3402061856
1971.0,634294.8322406479,500468.8593421973,503156.6617862372,619789.0157694399,525290.1134521881,507290.40196882695,512689.4953656025,636965.1376146789,727959.5015576323,657033.4128878282,587295.6671590349,658207.1509648127,1203209.982638889,882113.7955182074,620078.4896054306,741121.6216216217,726296.442687747,648827.540106952,547616.9934640522,624482.7060020346,687531.4606741572,770622.5693337584,946090.4649900489,747388.9602053915,761475.2475247525,723053.485313459,1025776.9378603459,788209.4936708861,562123.0448383733,720570.2005730659,587538.7323943662,504382.0078226858,786004.6189376443,848889.1129032258,734407.9207920792,585943.1099873577,704758.7336244541,655672.5228390724,574758.5768742058,707522.9289940828,519320.0962695547,488944.2307692308,504891.1362284355,576309.5442820293,502519.120458891,437591.8128654971,331400.0
1972.0,766896.6378482229,591685.2367688023,617358.711566618,744434.7125201505,630430.081300813,619687.242798354,648746.2686567164,734883.2579185521,857822.3724646589,749862.5368731564,711558.837318331,778722.0560239325,1428675.8246490397,968965.9129260884,717229.4317217981,852896.5517241379,846380.859375,792150.0664010624,677949.2847854357,727295.397066262,807692.7343316694,885700.3144654088,1115849.7785651018,843071.1111111111,934381.6216216217,856398.6224709428,1194942.351168048,888086.2248078121,652552.8700906344,854669.8292220114,697956.1403508772,592175.392670157,919772.9606389047,1019794.7805456703,843546.9468154957,689695.2141057934,832522.6781857451,717730.9573724668,647156.5656565657,842821.4634146342,637241.8379685611,570831.5112540193,624858.3383144053,688691.5167095115,601436.6062917064,547179.4721407624,459691.75257731957
1973.0,981913.8326327857,718009.6952908587,798345.5076698321,947074.5637228979,823823.1458842707,814322.075782537,840633.145202668,926258.1075077743,1102353.2970356927,927543.0733410943,880959.1061452514,1028297.8668054111,1774164.876707621,1202796.62682168,897805.0739957716,1101784.4254510922,1064893.2692307692,988643.8896189225,859777.4902975421,919314.4148669011,1025010.4052573931,1131346.439628483,1382193.6772624631,1081334.1708542714,1253730.9322033897,1083604.4839255498,1505957.688976865,1088790.9836065574,773376.0932944606,1097258.4905660378,871280.9773123909,781104.4386422976,1154016.3656884877,1277466.0457896779,1091407.963446475,856411.5432873275,1048984.0085287846,897769.4444444444,807313.28320802,1085830.125120308,811656.5900846433,733757.4002574002,802502.0820939917,874645.6020495304,760662.2516556291,693833.1381733022,644802.0100502513
1974.0,1137871.0959682,868976.6162310867,927845.0909090909,1127459.979209979,978390.8794788274,966699.0131578947,992334.1836734693,1116056.5709312446,1208319.4278903457,1059069.540229885,923810.8630313439,1098341.152982281,2017578.8615094016,1275185.0255427842,1118768.1952040386,1275711.194731891,1221123.106060606,1172305.9895833333,976955.0128534704,1080979.5613160518,1138418.8311688313,1277285.0595783684,1518843.10374295,1262000.0,1383985.5072463767,1240576.3772954924,1680734.5543345544,1213876.340821696,855714.0151515151,1281096.6228893057,1043064.0138408305,943093.8722294654,1275766.0167130919,1398456.9789674953,1278082.3605706873,990007.4906367041,1246844.374342797,1022557.1625344353,956814.2144638404,1284397.153024911,963673.0769230769,910102.4327784891,942735.41543901,990273.9609838846,897778.9179104477,837364.0606767795,797112.6346718903
1975.0,1193286.0621955788,1004649.4213750851,1038717.1717171718,1232834.7826086956,1076604.7077922078,1123709.0163934426,1133259.7666159312,1224056.3620836893,1323174.9116607774,1146113.325740319,1005604.024061398,1111826.464208243,2185039.23248244,1343090.8096280089,1237461.9565217393,1391297.852474323,1263525.2336448599,1249806.2015503875,1032401.0217113666,1181113.9742319128,1168887.04496788,1327142.3390752494,1618519.5813639432,1281412.054120541,1331821.5010141986,1262166.5979381443,1651908.3222611428,1300949.719551282,903735.3760445683,1235281.7164179105,1148228.9156626507,982689.2067620285,1349625.137816979,1508441.4210128495,1333182.6366559486,1062563.9751552795,1297087.4089490115,1127671.672354949,1058798.2673267326,1337263.4521313766,1058843.6754176612,976042.62086514,1047683.3819241984,1060136.9747899158,951057.1428571428,902933.8747099767,883346.116970278
1976.0,1339296.9416126043,1099307.95148248,1128949.1039426522,1350262.0967741937,1189507.667473769,1218611.2469437653,1235430.947580645,1341157.9831932771,1537110.6581246362,1300041.0573678291,1098155.5197421436,1239554.4879306303,2405926.589001199,1514721.8125960063,1343642.144638404,1544679.3327154773,1410437.1534195933,1399825.4172015404,1148714.1041931387,1303554.8450565666,1311062.466913711,1474414.247231368,1825227.1209084836,1411319.9023199023,1497336.9781312125,1409336.867862969,1850774.1896758704,1528269.0395704913,1024151.1839708562,1295749.3036211699,1284336.1774744028,1097622.5680933853,1468025.6971022415,1644797.0037453184,1458104.8593350383,1197917.1817058097,1402737.1134020619,1278895.6639566396,1187160.9336609335,1452019.5267631519,1170194.7743467933,1089837.5634517767,1160357.019064125,1184003.3361134278,1037275.4545454545,1031302.5936599424,920942.3440453686
